hanwatkheda2701,AMRAVATI-ACHALPUR-GP-hanwatkheda 
haram2701,AMRAVATI-ACHALPUR-GP-haram 
hiwra.purna2701,AMRAVATI-ACHALPUR-GP-hiwra purna 
isapur2701,AMRAVATI-ACHALPUR-GP-isapur 
jawardi2701,AMRAVATI-ACHALPUR-GP-jawardi 
jawlapur2701,AMRAVATI-ACHALPUR-GP-jawlapur 
kakada2701,AMRAVATI-ACHALPUR-GP-kakada 
kandali2701,AMRAVATI-ACHALPUR-GP-kandali 
kasampur2701,AMRAVATI-ACHALPUR-GP-kasampur
kavithabk2701,AMRAVATI-ACHALPUR-GP-kavithabk 
khairi2701,AMRAVATI-ACHALPUR-GP-khairi 
khanjamanagar2701,AMRAVATI-ACHALPUR-GP-khanjamanagar 
khustakhurd2701,AMRAVATI-ACHALPUR-GP-khustakhurd
kolha2701,AMRAVATI-ACHALPUR-GP-kolha 
kothara2701,AMRAVATI-ACHALPUR-GP-kothara 
kushtabk2701,AMRAVATI-ACHALPUR-GP-kushtabk
malhara2701,AMRAVATI-ACHALPUR-GP-malhara
naigaon2701,AMRAVATI-ACHALPUR-GP-naigaon 
narayanpur2701,AMRAVATI-ACHALPUR-GP-narayanpur 
nimbhari2701,AMRAVATI-ACHALPUR-GP-nimbhari 
nimdari2701,AMRAVATI-ACHALPUR-GP-nimdari
nimkund2701,AMRAVATI-ACHALPUR-GP-nimkund 
nizampur2701,AMRAVATI-ACHALPUR-GP-nizampur 
pandhri2701,AMRAVATI-ACHALPUR-GP-pandhri 
parsapur2701,AMRAVATI-ACHALPUR-GP-parsapur 
pathrot2701,AMRAVATI-ACHALPUR-GP-pathrot 
pimpalkhuta2701,AMRAVATI-ACHALPUR-GP-pimpalkhuta 
ramapur.belaj2701,AMRAVATI-ACHALPUR-GP-ramapur belaj 
ramapurbk2701,AMRAVATI-ACHALPUR-GP-ramapurbk 
rasegaon2701,AMRAVATI-ACHALPUR-GP-rasegaon 
salepur2701,AMRAVATI-ACHALPUR-GP-salepur 
sawlapur2701,AMRAVATI-ACHALPUR-GP-sawlapur 
sawlibk2701,AMRAVATI-ACHALPUR-GP-sawlibk
sawlidatura2701,AMRAVATI-ACHALPUR-GP-sawlidatura 
shahapurjhahangir2701,AMRAVATI-ACHALPUR-GP-shahapurjhahangir 
sindhibk2701,AMRAVATI-ACHALPUR-GP-sindhibk
tawlar2701,AMRAVATI-ACHALPUR-GP-tawlar 
tuljapurjahangir2701,AMRAVATI-ACHALPUR-GP-tuljapurjahangir 
upatkheda2701,AMRAVATI-ACHALPUR-GP-upatkheda 
wadgaonfathepur2701,AMRAVATI-ACHALPUR-GP-wadgaonfathepur 
wadnerbhujang2701,AMRAVATI-ACHALPUR-GP-wadnerbhujang 
waghdoh2701,AMRAVATI-ACHALPUR-GP-waghdoh 
wasnibk2701,AMRAVATI-ACHALPUR-GP-wasnibk 
wasnikhurd2701,AMRAVATI-ACHALPUR-GP-wasnikhurd 
wazargram2701,AMRAVATI-ACHALPUR-GP-wazargram 
yelaki2701,AMRAVATI-ACHALPUR-GP-yelaki 
yesurna2701,AMRAVATI-ACHALPUR-GP-yesurna 
yevta2701,AMRAVATI-ACHALPUR-GP-yevta
alanagaon2701,AMRAVATI-ANJANGAON-GP-alanagaon
anchalwadi2701,AMRAVATI-ANJANGAON-GP-anchalwadi
asara2701,AMRAVATI-ANJANGAON-GP-asara
ashti2701,AMRAVATI-ANJANGAON-GP-ashti
bahadrapur2701,AMRAVATI-ANJANGAON-GP-bahadrapur
bahtkuli2701,AMRAVATI-ANJANGAON-GP-bahtkuli
bailmarkheda2701,AMRAVATI-ANJANGAON-GP-bailmarkheda
borakhadi.bk2701,AMRAVATI-ANJANGAON-GP-borakhadi bk.
dadhi2701,AMRAVATI-ANJANGAON-GP-dadhi
devari.nipani2701,AMRAVATI-ANJANGAON-GP-devari nipani
dhamori2701,AMRAVATI-ANJANGAON-GP-dhamori
ganojadevi2701,AMRAVATI-ANJANGAON-GP-ganojadevi
gaurakheda2701,AMRAVATI-ANJANGAON-GP-gaurakheda
ganori2701,AMRAVATI-ANJANGAON-GP-ganori
haratoti2701,AMRAVATI-ANJANGAON-GP-haratoti
hartala2701,AMRAVATI-ANJANGAON-GP-hartala
hatkheda2701,AMRAVATI-ANJANGAON-GP-hatkheda
haturna2701,AMRAVATI-ANJANGAON-GP-haturna
jalka.hirapur2701,AMRAVATI-ANJANGAON-GP-jalka hirapur
jasapur2701,AMRAVATI-ANJANGAON-GP-jasapur
kamnapur2701,AMRAVATI-ANJANGAON-GP-kamnapur
kanaphodi2701,AMRAVATI-ANJANGAON-GP-kanaphodi
